,brand,name,price,spec_rating,processor,CPU,Ram,Ram_type,ROM,ROM_type,GPU,display_size,resolution_width,resolution_height,OS,warranty,image
744,Asus,ROG Zephyrus G14 GA402NJ-L8094WS Gaming Laptop,119990,71.0,6th Gen AMD Ryzen 7  7735HS,"Octa Core, 16 Threads",16GB,DDR5,512GB,SSD,6GB NVIDIA GeForce RTX 3050 ,14.0,2560,1600,Windows 11 OS,1,https://th.bing.com/th/id/OIP.qw_4MNdsx3IJh2nalSseBwAAAA?rs=1&pid=ImgDetMain
745,LG,UltraPC 16 ‎16U70R-G.AH56A2 Laptop,78299,72.0,7th Gen AMD Ryzen 5 7530U,"Hexa Core, 12 Threads",16GB,DDR4,512GB,SSD,AMD Radeon 7 Graphics,16.0,1920,1200,Windows 11 OS,1,https://th.bing.com/th/id/OIP.5rO1POSMfoKJq3U95qTlzQHaJd?rs=1&pid=ImgDetMain
746,LG,Gram 14 2023 ‎14Z90R-G.CH75A2 Laptop,115990,69.0,13th Gen Intel Core i7 1360P,"12 Cores (4P + 8E), 16 Threads",16GB,LPDDR5,512GB,SSD,Intel Iris Xe Graphics,14.0,1200,1920,Windows 11 OS,1,https://th.bing.com/th/id/OIP.AeZwt5R0SLuIJc7O6f_WkAHaE6?rs=1&pid=ImgDetMain
747,Asus,Vivobook 15 2023 X1504VA-NJ544WS Laptop,61990,65.0,13th Gen Intel Core i5 1335U,"10 Cores (2P + 8E), 12 Threads",16GB,DDR4,512GB,SSD,Integrated Intel Iris Xe Graphics,15.6,1920,1080,Windows 11 OS,1,https://cdn1.smartprix.com/rx-iSKYtrRrg-w1200-h1200/SKYtrRrg.jpg
748,HP,255 G8 6E3Z0PA Laptop,26999,69.32352941,3rd Gen AMD Ryzen 3  3250U,"Dual Core, 4 Threads",8GB,DDR4,512GB,SSD,AMD Radeon Graphics,15.6,1366,768,DOS OS,1,https://e2simages.excess2sell.com/images/pviews/hpgezcolaam1655448089101_1655448089_view1.png
749,HP,Omen 16-wd0990TX Gaming Laptop,103099,73.0,13th Gen Intel Core i5 13420H,"Octa Core (4P + 4E), 12 Threads",16GB,DDR5,512GB,SSD,6GB NVIDIA GeForce RTX 4050,16.1,2560,1440,Windows 11 OS,1,https://cdn1.smartprix.com/rx-ihUEZuxlE-w420-h420/vaio-se14-np14v3in03.jpg
750,Infinix,Zerobook 13 ZL513 2023 Laptop,64990,63.0,13th Gen Intel Core i7 13700H,"14 Cores (6P + 8E), 20 Threads",32GB,LPDDR5X,1TB,SSD,Intel Integrated Iris Xe,15.6,1920,1080,Windows 11 OS,1,https://cdn1.smartprix.com/rx-iQ6sYOXAu-w1200-h1200/Q6sYOXAu.jpg
751,Lenovo,S14 Gen 3 82TW001CIH Laptop,47990,62.0,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",8GB,DDR4,512GB,SSD,Intel UHD Graphics,14.0,1920,1080,Windows 11 OS,2,https://cdn1.smartprix.com/rx-iBukV7Qm7-w420-h420/lenovo-s14-gen-3-82t.jpg
752,Lenovo,IdeaPad 1 14IGL7 82V6005EIN Laptop,24990,69.32352941,4th Gen Intel Celeron N4020,"Dual Core, 2 Threads",8GB,DDR4,256GB,SSD,Intel Integrated UHD,14.0,1366,768,Windows 10 OS,1,https://cdn1.smartprix.com/rx-ig1ULzbfR-w1200-h1200/g1ULzbfR.jpg
753,Lenovo,ThinkPad T14 Gen 2 20W0S16Q00 Laptop,130800,69.0,11th Gen Intel Core i7 1165G7 ,"Quad Core, 8 Threads",16GB,DDR4,512GB,SSD,2GB NVIDIA GeForce MX450,14.0,1920,1080,Windows 11 OS,1,https://th.bing.com/th/id/OIP.OK1MZdpDwqu8BDlwOBo7AAHaFd?rs=1&pid=ImgDetMain
754,MSI,Thin GF63 11SC-1462IN Gaming Laptop,57990,71.0,11th Gen Intel Core i7 11800H,"Octa Core, 16 Threads",16GB,DDR4,512GB,SSD,4GB NVIDIA GeForce GTX 1650,15.6,1920,1080,Windows 11 OS,2,https://th.bing.com/th/id/R.4b1738106f86b9207db7fc97d492b896?rik=zEVI8%2fwJWT0bJA&riu=http%3a%2f%2fcdn.shopify.com%2fs%2ffiles%2f1%2f0513%2f8205%2f9159%2fproducts%2fmsiGF63Thin11SCGamingLaptop_i5-11thGen_GTX1650MaxQGDDR64GB_1.jpg%3fv%3d1647327999&ehk=duyXiZlRBTpUAepzLZULiKtLhlkHs4oeWuM5tnIG1Ts%3d&risl=&pid=ImgRaw&r=0
